Date,Values
2018.07.19,169500.0
2018.07.20,163000.0
2018.07.23,154500.0
2018.07.24,154500.0
2018.07.25,151500.0
2018.07.26,156000.0
2018.07.27,160000.0
2018.07.30,166500.0
2018.07.31,170000.0
2018.08.01,168000.0
2018.08.02,159500.0
2018.08.03,160000.0
2018.08.06,160000.0
2018.08.07,160500.0
2018.08.08,162000.0
2018.08.09,160000.0
2018.08.10,160000.0
2018.08.13,156000.0
2018.08.14,157000.0
2018.08.16,154000.0
2018.08.17,156000.0
2018.08.20,157500.0
2018.08.21,163500.0
2018.08.22,157000.0
2018.08.23,152000.0
2018.08.24,153000.0
2018.08.27,149500.0
2018.08.28,152500.0
2018.08.29,156000.0
2018.08.30,160000.0
2018.08.31,160000.0
2018.09.03,155000.0
2018.09.04,154500.0
2018.09.05,149500.0
2018.09.06,151000.0
2018.09.07,151500.0
2018.09.10,149000.0
2018.09.11,146000.0
2018.09.12,148500.0
2018.09.13,146000.0
2018.09.14,149500.0
2018.09.17,151500.0
2018.09.18,149000.0
2018.09.19,149500.0
2018.09.20,143500.0
2018.09.21,142500.0
2018.09.27,143500.0
2018.09.28,141500.0
2018.10.01,141500.0
2018.10.02,137000.0
2018.10.04,133000.0
2018.10.05,132500.0
2018.10.08,130500.0
2018.10.10,125000.0
2018.10.11,118500.0
2018.10.12,119000.0
2018.10.15,114500.0
2018.10.16,111500.0
2018.10.17,112500.0
2018.10.18,114500.0
2018.10.19,114000.0
2018.10.22,117500.0
2018.10.23,115000.0
2018.10.24,108500.0
2018.10.25,103000.0
2018.10.26,102500.0
2018.10.29,99300.0
2018.10.30,99600.0
2018.10.31,104500.0
2018.11.01,100500.0
2018.11.02,104000.0
2018.11.05,103500.0
2018.11.06,102000.0
2018.11.07,100000.0
2018.11.08,99300.0
2018.11.09,100000.0
2018.11.12,100500.0
2018.11.13,100500.0
2018.11.14,101000.0
2018.11.15,101000.0
2018.11.16,103000.0
2018.11.19,104500.0
2018.11.20,104500.0
2018.11.21,108000.0
2018.11.22,105500.0
2018.11.23,103500.0
2018.11.26,108000.0
2018.11.27,108000.0
2018.11.28,110500.0
2018.11.29,111000.0
2018.11.30,110000.0
2018.12.03,114000.0
2018.12.04,113000.0
2018.12.05,111500.0
2018.12.06,111500.0
2018.12.07,112000.0
2018.12.10,110000.0
2018.12.11,110500.0
2018.12.12,113000.0
2018.12.13,113500.0
2018.12.14,112500.0
2018.12.17,114500.0
2018.12.18,115000.0
2018.12.19,112500.0
2018.12.20,108500.0
2018.12.21,102500.0
2018.12.24,104000.0
2018.12.26,100500.0
2018.12.27,104000.0
2018.12.28,103000.0
2019.01.02,102500.0
2019.01.03,101500.0
2019.01.04,99800.0
2019.01.07,102500.0
2019.01.08,101500.0
2019.01.09,103000.0
2019.01.10,103500.0
2019.01.11,103500.0
2019.01.14,109000.0
2019.01.15,109000.0
2019.01.16,111500.0
2019.01.17,109500.0
2019.01.18,112000.0
2019.01.21,111000.0
2019.01.22,109500.0
2019.01.23,111500.0
2019.01.24,111000.0
2019.01.25,113500.0
2019.01.28,118500.0
2019.01.29,118000.0
2019.01.30,117500.0
2019.01.31,114500.0
2019.02.01,114000.0
2019.02.07,114000.0
2019.02.08,114000.0
2019.02.11,116000.0
2019.02.12,122000.0
2019.02.13,122000.0
2019.02.14,127000.0
2019.02.15,124500.0
2019.02.18,123000.0
2019.02.19,123500.0
2019.02.20,122000.0
2019.02.21,125000.0
2019.02.22,123500.0
2019.02.25,123500.0
2019.02.26,121500.0
2019.02.27,121500.0
2019.02.28,117500.0
2019.03.04,117000.0
2019.03.05,118000.0
2019.03.06,118000.0
2019.03.07,117000.0
2019.03.08,117000.0
2019.03.11,116500.0
2019.03.12,118000.0
2019.03.13,118500.0
2019.03.14,121000.0
2019.03.15,123500.0
2019.03.18,133000.0
2019.03.19,136500.0
2019.03.20,137500.0
2019.03.21,133500.0
2019.03.22,131000.0
2019.03.25,128500.0
2019.03.26,130000.0
2019.03.27,131500.0
2019.03.28,127000.0
2019.03.29,125500.0
2019.04.01,129500.0
2019.04.02,127500.0
2019.04.03,128000.0
2019.04.04,126500.0
2019.04.05,129500.0
2019.04.08,128000.0
2019.04.09,128000.0
2019.04.10,125500.0
2019.04.11,123500.0
2019.04.12,121000.0
2019.04.15,122500.0
2019.04.16,121500.0
2019.04.17,123000.0
2019.04.18,122000.0
2019.04.19,124500.0
2019.04.22,128500.0
2019.04.23,125500.0
2019.04.24,127000.0
2019.04.25,126500.0
2019.04.26,127000.0
2019.04.29,128000.0
2019.04.30,129500.0
2019.05.02,133500.0
2019.05.03,134500.0
2019.05.07,134000.0
2019.05.08,129000.0
2019.05.09,122500.0
2019.05.10,122000.0
2019.05.13,119500.0
2019.05.14,123500.0
2019.05.15,124000.0
2019.05.16,119000.0
2019.05.17,116000.0
2019.05.20,114500.0
2019.05.21,115000.0
2019.05.22,114000.0
2019.05.23,111500.0
2019.05.24,110000.0
2019.05.27,112500.0
2019.05.28,112500.0
2019.05.29,110000.0
2019.05.30,111000.0
2019.05.31,110000.0
2019.06.03,110000.0
2019.06.04,111500.0
2019.06.05,111500.0
2019.06.07,111500.0
2019.06.10,110500.0
2019.06.11,115000.0
2019.06.12,116500.0
2019.06.13,117000.0
2019.06.14,115000.0
2019.06.17,117000.0
2019.06.18,116000.0
2019.06.19,116000.0
2019.06.20,119000.0
2019.06.21,116000.0
2019.06.24,120000.0
2019.06.25,120500.0
2019.06.26,121000.0
2019.06.27,119500.0
2019.06.28,119500.0
2019.07.01,120000.0
2019.07.02,125000.0
2019.07.03,124000.0
2019.07.04,128500.0
2019.07.05,129000.0
2019.07.08,124500.0
2019.07.09,124000.0
2019.07.10,124500.0
2019.07.11,122000.0
2019.07.12,123000.0
2019.07.15,124000.0
2019.07.16,130000.0
2019.07.17,132000.0
2019.07.18,130000.0
2019.07.19,125500.0
2019.07.22,127000.0
2019.07.23,128000.0
2019.07.24,126000.0
2019.07.25,120500.0
2019.07.26,117500.0
2019.07.29,119500.0
2019.07.30,121000.0
2019.07.31,117000.0
2019.08.01,116000.0
2019.08.02,123000.0
2019.08.05,122500.0
2019.08.06,116500.0
2019.08.07,115000.0
2019.08.08,117500.0
2019.08.09,115000.0
2019.08.12,114500.0
2019.08.13,112000.0
2019.08.14,113000.0
2019.08.16,118500.0
2019.08.19,129000.0
2019.08.20,127000.0
2019.08.21,130000.0
2019.08.22,130000.0
2019.08.23,137000.0
